Count 21
density 0
Generation 0
freezing_point 18
viscosity 17
solution 4
solubility 17
volume 17
boiling_point 8
transition_temp 17
pH 20
refractive_index 1
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C142H344N58O28 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C622H1496N250O124 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C1262H3032N506O252 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C5102H12248N2042O1020 1.0
  -1
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C46H80N10O20-------- 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C110H200N26O44---------------- 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C238H440N58O92-------------------------------- 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C494H920N122O188---------------------------------------------------------------- 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C122H308N62O60 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C250H628N126O124 1.0
C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- C506H1268N254O252 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C16H40N6 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C40H96N14 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C88H208N30 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C376H880N126 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C22H56N10O4 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C62H152N26O12 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C142H344N58O28 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C142H344N58O28 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C622H1496N250O124 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C1262H3032N506O252 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C5102H12248N2042O1020 1.0
  -1
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C46H80N10O20-------- 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C110H200N26O44---------------- 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C238H440N58O92-------------------------------- 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C494H920N122O188---------------------------------------------------------------- 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C122H308N62O60 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C250H628N126O124 1.0
C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- C506H1268N254O252 1.0
C122H308N62O60 C16H40N6 1.0
C122H308N62O60 C40H96N14 1.0
C122H308N62O60 C88H208N30 1.0
C122H308N62O60 C376H880N126 1.0
C122H308N62O60 C22H56N10O4 1.0
C122H308N62O60 C62H152N26O12 1.0
C122H308N62O60 C142H344N58O28 1.0
C122H308N62O60 C142H344N58O28 1.0
C122H308N62O60 C622H1496N250O124 1.0
C122H308N62O60 C1262H3032N506O252 1.0
C122H308N62O60 C5102H12248N2042O1020 1.0
  -1
C122H308N62O60 C46H80N10O20-------- 1.0
C122H308N62O60 C110H200N26O44---------------- 1.0
C122H308N62O60 C238H440N58O92-------------------------------- 1.0
C122H308N62O60 C494H920N122O188---------------------------------------------------------------- 1.0
C122H308N62O60 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C122H308N62O60 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C122H308N62O60 C250H628N126O124 1.0
C122H308N62O60 C506H1268N254O252 1.0
C250H628N126O124 C16H40N6 1.0
C250H628N126O124 C40H96N14 1.0
C250H628N126O124 C88H208N30 1.0
C250H628N126O124 C376H880N126 1.0
C250H628N126O124 C22H56N10O4 1.0
C250H628N126O124 C62H152N26O12 1.0
C250H628N126O124 C142H344N58O28 1.0
C250H628N126O124 C142H344N58O28 1.0
C250H628N126O124 C622H1496N250O124 1.0
C250H628N126O124 C1262H3032N506O252 1.0
C250H628N126O124 C5102H12248N2042O1020 1.0
  -1
C250H628N126O124 C46H80N10O20-------- 1.0
C250H628N126O124 C110H200N26O44---------------- 1.0
C250H628N126O124 C238H440N58O92-------------------------------- 1.0
C250H628N126O124 C494H920N122O188---------------------------------------------------------------- 1.0
C250H628N126O124 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C250H628N126O124 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C250H628N126O124 C122H308N62O60 1.0
C250H628N126O124 C506H1268N254O252 1.0
C506H1268N254O252 C16H40N6 1.0
C506H1268N254O252 C40H96N14 1.0
C506H1268N254O252 C88H208N30 1.0
C506H1268N254O252 C376H880N126 1.0
C506H1268N254O252 C22H56N10O4 1.0
C506H1268N254O252 C62H152N26O12 1.0
C506H1268N254O252 C142H344N58O28 1.0
C506H1268N254O252 C142H344N58O28 1.0
C506H1268N254O252 C622H1496N250O124 1.0
C506H1268N254O252 C1262H3032N506O252 1.0
C506H1268N254O252 C5102H12248N2042O1020 1.0
  -1
C506H1268N254O252 C46H80N10O20-------- 1.0
C506H1268N254O252 C110H200N26O44---------------- 1.0
C506H1268N254O252 C238H440N58O92-------------------------------- 1.0
C506H1268N254O252 C494H920N122O188---------------------------------------------------------------- 1.0
C506H1268N254O252 C1006H1880N250O380-------------------------------------------------------------------------------------------------------------------------------- 1.0
C506H1268N254O252 C2030H3800N506O764---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- 1.0
C506H1268N254O252 C122H308N62O60 1.0
C506H1268N254O252 C250H628N126O124 1.0
